id,dispatch_time,incident_type,priority_number,units_arrived_at_scene
157,2023-05-19 14:48,Medical,5,5
158,2023-09-12 15:27,Other,12,5
159,2023-08-22 15:44,Medical,4,10
160,2023-12-09 13:21,Medical,3,11
161,2023-05-24 23:26,Medical,1,6
162,2023-03-14 13:36,Fire,5,1
163,2023-05-27 03:26,Other,1,7
164,2023-05-12 07:48,Fire,12,4
165,2023-06-23 21:59,Fire,12,8
166,2023-03-10 02:21,Emergency Transfer,3,4
167,2023-05-01 23:04,Motor Vehicle Accident,4,6
168,2023-02-08 07:27,Medical,5,7
169,2023-10-02 21:05,Medical,11,5
170,2023-04-19 18:45,Airport Standby,3,11
171,2023-11-06 21:21,Medical,5,1
172,2023-11-20 06:57,Motor Vehicle Accident,3,4
173,2023-06-02 18:59,Motor Vehicle Accident,3,8
174,2023-04-10 18:51,Motor Vehicle Accident,5,6
175,2023-05-18 18:50,Medical,11,5
176,2023-01-11 20:22,Motor Vehicle Accident,9,5
177,2023-07-02 17:58,Motor Vehicle Accident,3,4
178,2023-02-18 00:59,Other,12,5
179,2023-09-17 09:52,Other,5,8
180,2023-12-07 09:04,Motor Vehicle Accident,9,3
181,2023-05-25 08:42,Motor Vehicle Accident,4,8
182,2023-06-06 11:37,Motor Vehicle Accident,4,10
183,2023-11-18 16:55,Fire,3,6
184,2023-05-30 09:21,Fire,5,9
185,2023-01-05 03:35,Emergency Transfer,11,7
186,2023-03-26 05:19,Other,3,5
187,2023-12-27 21:51,Medical,5,5
188,2023-06-13 14:04,Medical,5,6
189,2023-01-27 10:27,Fire,4,4
190,2023-06-16 13:49,Airport Standby,9,5
191,2023-05-11 03:06,Medical,5,5
192,2023-09-12 16:12,Fire,1,1
193,2023-03-08 19:47,Other,1,11
194,2023-09-15 01:15,Other,5,4
195,2023-12-13 20:59,Other,5,2
196,2023-09-18 04:57,Fire,3,6
197,2023-06-29 11:13,Motor Vehicle Accident,4,11
198,2023-12-31 19:38,Medical,4,8
199,2023-07-12 19:24,Medical,12,4
200,2023-11-25 06:13,Other,5,5
201,2023-12-08 22:52,Medical,3,5
202,2023-08-14 02:20,Medical,9,5
203,2023-07-22 05:50,Motor Vehicle Accident,9,6
204,2023-01-30 14:08,Other,11,5
205,2023-06-12 15:29,Medical,4,12
206,2023-07-22 02:46,Medical,4,0
207,2023-10-12 13:29,Emergency Transfer,4,3
208,2023-11-26 18:24,Emergency Transfer,4,2
209,2023-10-23 05:51,Motor Vehicle Accident,13,7
210,2023-02-25 17:26,Other,4,7
211,2023-07-24 01:26,Other,4,8
212,2023-05-20 06:25,Fire,3,8
213,2023-01-03 12:50,Motor Vehicle Accident,11,3
214,2023-12-07 06:38,Airport Standby,4,5
215,2023-01-15 02:57,Fire,1,5
216,2023-05-06 00:04,Other,12,5
217,2023-01-26 08:53,Medical,3,5
218,2023-04-25 15:34,Motor Vehicle Accident,1,0
219,2023-09-25 20:06,Medical,5,4
220,2023-08-03 10:02,Medical,1,6
221,2023-12-07 06:33,Other,14,8
222,2023-10-29 01:43,Motor Vehicle Accident,3,9
223,2023-06-12 15:51,Fire,9,8
224,2023-12-14 17:11,Motor Vehicle Accident,4,5
225,2023-12-04 21:04,Medical,4,5
226,2023-11-20 01:36,Medical,9,7
227,2023-12-27 00:59,Medical,11,7
228,2023-08-25 15:57,Medical,9,3
229,2023-03-09 04:35,Motor Vehicle Accident,11,12
230,2023-08-26 19:54,Other,4,6
231,2023-09-26 11:28,Motor Vehicle Accident,5,8
232,2023-01-05 12:42,Medical,11,7
233,2023-09-11 13:48,Motor Vehicle Accident,4,9
234,2023-10-18 19:14,Motor Vehicle Accident,4,4
235,2023-10-23 18:24,Motor Vehicle Accident,9,3
236,2023-12-11 19:11,Medical,14,9
237,2023-12-01 09:26,Medical,5,2
238,2023-01-28 07:50,Medical,3,5
239,2023-06-01 01:55,Other,5,9
240,2023-06-12 12:46,Medical,4,4
241,2023-08-19 15:39,Fire,3,1
242,2023-08-03 23:38,Motor Vehicle Accident,5,10
243,2023-08-06 23:01,Motor Vehicle Accident,4,9
244,2023-01-08 07:14,Medical,3,1
245,2023-08-20 22:19,Motor Vehicle Accident,3,6
246,2023-04-10 07:49,Medical,3,7
247,2023-09-11 12:32,Other,13,1
248,2023-10-17 17:31,Medical,9,5
249,2023-06-07 03:05,Motor Vehicle Accident,4,0
250,2023-10-13 16:31,Motor Vehicle Accident,5,3
251,2023-11-15 10:29,Medical,3,4
252,2023-04-05 16:30,Medical,4,6
253,2023-05-12 19:15,Motor Vehicle Accident,3,4
254,2023-10-24 17:28,Motor Vehicle Accident,5,11
255,2023-11-01 04:17,Motor Vehicle Accident,5,5
256,2023-04-11 23:19,Medical,9,4
257,2023-07-15 07:43,Fire,5,1
258,2023-11-15 02:42,Motor Vehicle Accident,4,5
259,2023-01-02 19:25,Medical,3,1
260,2023-07-12 01:06,Motor Vehicle Accident,4,11
261,2023-03-04 08:34,Other,3,2
262,2023-09-28 00:35,Motor Vehicle Accident,9,9
263,2023-04-20 01:32,Other,5,5
264,2023-03-31 13:59,Medical,12,8
265,2023-11-11 07:36,Motor Vehicle Accident,4,7
266,2023-03-28 16:46,Medical,4,12
267,2023-03-27 15:31,Other,3,7
268,2023-06-16 08:55,Motor Vehicle Accident,4,7
269,2023-03-27 05:19,Medical,4,4
270,2023-06-03 19:57,Other,5,7
271,2023-04-05 09:04,Fire,4,6
272,2023-01-17 14:50,Other,14,2
273,2023-05-14 05:14,Medical,11,9
274,2023-02-23 22:58,Other,5,8
275,2023-04-21 06:01,Motor Vehicle Accident,4,8
276,2023-02-19 15:46,Airport Standby,5,9
277,2023-08-15 03:50,Motor Vehicle Accident,3,5
278,2023-05-06 06:07,Medical,11,5
279,2023-03-23 19:39,Emergency Transfer,13,9
280,2023-12-10 17:45,Medical,4,1
281,2023-01-08 08:10,Other,9,8
282,2023-09-01 22:34,Medical,5,2
283,2023-02-11 06:11,Medical,3,4
284,2023-02-27 09:19,Medical,5,9
285,2023-05-07 04:36,Fire,4,4
286,2023-04-03 04:54,Other,1,7
287,2023-12-11 01:00,Fire,4,3
288,2023-03-17 15:41,Motor Vehicle Accident,5,8
289,2023-06-13 03:25,Medical,4,9
290,2023-08-15 09:34,Emergency Transfer,3,3
291,2023-04-22 16:58,Motor Vehicle Accident,12,4
292,2023-01-01 21:42,Other,3,4
293,2023-03-08 07:59,Motor Vehicle Accident,5,11
294,2023-05-01 18:45,Emergency Transfer,1,3
295,2023-07-26 01:10,Emergency Transfer,9,9
296,2023-02-12 14:11,Motor Vehicle Accident,3,3
297,2023-10-10 06:58,Fire,11,3
298,2023-06-09 05:14,Medical,13,3
299,2023-04-16 15:20,Motor Vehicle Accident,4,3
300,2023-04-06 00:20,Medical,1,2
301,2023-10-14 07:36,Other,1,7
302,2023-08-26 18:21,Other,13,1
303,2023-02-08 03:06,Medical,3,2
304,2023-12-02 13:44,Medical,1,4
305,2023-12-31 16:28,Medical,5,1
306,2023-11-18 05:55,Motor Vehicle Accident,4,2
307,2023-01-09 09:22,Fire,3,5
308,2023-12-31 05:08,Motor Vehicle Accident,3,4
309,2023-11-27 22:00,Medical,3,12
310,2023-03-06 03:09,Motor Vehicle Accident,5,3
311,2023-04-19 17:45,Other,3,5
312,2023-03-22 13:11,Fire,5,3
313,2023-12-17 21:00,Other,5,8
314,2023-07-26 23:39,Motor Vehicle Accident,1,1
315,2023-06-14 03:09,Medical,1,5
316,2023-05-15 08:25,Motor Vehicle Accident,1,10
317,2023-08-27 20:35,Other,4,5
318,2023-03-17 02:39,Medical,4,9
319,2023-05-18 14:29,Other,13,3
320,2023-07-14 00:36,Motor Vehicle Accident,1,4
321,2023-01-09 01:19,Other,9,4
322,2023-09-05 14:59,Medical,4,4
323,2023-01-21 08:18,Medical,3,7
324,2023-11-17 18:57,Motor Vehicle Accident,5,3
325,2023-06-08 17:30,Medical,3,10
326,2023-08-28 00:38,Motor Vehicle Accident,4,6
327,2023-10-02 10:25,Fire,3,3
328,2023-04-07 15:54,Medical,5,4
329,2023-05-18 02:38,Fire,4,6
330,2023-10-23 22:14,Motor Vehicle Accident,5,4
331,2023-11-26 19:53,Airport Standby,3,6
332,2023-08-02 01:00,Motor Vehicle Accident,9,9
333,2023-01-12 15:46,Motor Vehicle Accident,5,7
334,2023-05-22 09:51,Medical,3,5
335,2023-12-28 11:35,Motor Vehicle Accident,3,8
336,2023-06-14 11:10,Other,1,8
337,2023-03-15 22:17,Fire,13,3
338,2023-02-03 16:09,Other,3,7
339,2023-08-03 18:56,Motor Vehicle Accident,12,7
340,2023-05-27 18:54,Fire,9,2
341,2023-10-22 21:51,Medical,9,8
342,2023-07-20 14:59,Other,4,6
343,2023-08-28 14:55,Motor Vehicle Accident,3,9
344,2023-03-03 22:37,Fire,4,6
345,2023-01-17 02:44,Motor Vehicle Accident,1,3
346,2023-10-04 03:00,Emergency Transfer,1,3
347,2023-06-26 21:53,Medical,4,4
348,2023-10-13 03:21,Motor Vehicle Accident,1,3
349,2023-11-04 13:01,Fire,3,3
350,2023-10-04 07:04,Medical,3,3
351,2023-10-25 01:14,Medical,5,3
352,2023-10-14 13:08,Motor Vehicle Accident,5,5
353,2023-03-09 18:20,Emergency Transfer,5,10
354,2023-05-01 13:22,Motor Vehicle Accident,4,4
355,2023-01-04 13:18,Motor Vehicle Accident,3,4
356,2023-05-01 18:24,Medical,1,5
357,2023-07-26 13:08,Motor Vehicle Accident,4,4
358,2023-07-03 05:23,Medical,4,3
359,2023-01-19 19:00,Medical,4,5
360,2023-07-21 08:30,Motor Vehicle Accident,3,7
361,2023-11-29 00:03,Medical,1,5
362,2023-11-02 07:17,Other,1,8
363,2023-03-18 11:44,Medical,12,7
364,2023-12-15 18:36,Medical,3,6
365,2023-10-17 01:36,Fire,4,3
366,2023-08-23 00:27,Airport Standby,4,4
367,2023-10-21 09:19,Emergency Transfer,3,3
368,2023-07-14 05:28,Medical,1,6
369,2023-06-17 13:52,Medical,11,3
370,2023-09-25 01:29,Motor Vehicle Accident,4,0
371,2023-02-02 20:51,Fire,1,4
372,2023-08-16 17:15,Fire,5,6
373,2023-09-27 11:09,Fire,4,5
374,2023-04-24 17:03,Medical,4,4
375,2023-09-02 18:39,Medical,1,5
376,2023-12-26 07:35,Motor Vehicle Accident,5,2
377,2023-05-31 14:10,Motor Vehicle Accident,1,6
378,2023-02-20 01:48,Motor Vehicle Accident,5,3
379,2023-04-20 08:47,Medical,5,7
380,2023-01-16 16:13,Other,1,7
381,2023-05-02 00:27,Motor Vehicle Accident,4,2
382,2023-12-26 23:26,Medical,5,3
383,2023-06-22 22:04,Medical,3,6
384,2023-02-26 22:20,Motor Vehicle Accident,3,1
385,2023-11-29 08:01,Fire,1,1
386,2023-03-02 08:13,Medical,5,3
387,2023-04-20 19:48,Motor Vehicle Accident,4,1
388,2023-08-01 06:16,Medical,3,5
389,2023-07-26 18:04,Other,11,8
390,2023-11-11 23:23,Motor Vehicle Accident,14,5
391,2023-11-06 08:52,Medical,1,8
392,2023-04-19 22:51,Fire,3,5
393,2023-09-12 05:24,Other,3,3
394,2023-01-06 12:02,Motor Vehicle Accident,1,9
395,2023-11-23 15:35,Medical,4,12
396,2023-08-24 17:00,Medical,5,4
397,2023-06-15 01:34,Motor Vehicle Accident,1,5
398,2023-01-07 15:32,Medical,9,1
399,2023-03-05 15:24,Motor Vehicle Accident,13,7
400,2023-11-28 01:19,Motor Vehicle Accident,9,5
401,2023-05-19 08:35,Other,1,7
402,2023-05-27 04:26,Medical,4,8
403,2023-09-24 08:01,Medical,1,8
404,2023-12-13 15:51,Motor Vehicle Accident,4,4
405,2023-07-04 02:08,Fire,4,2
406,2023-04-03 10:47,Other,12,1
407,2023-11-26 07:36,Medical,11,7
408,2023-02-13 03:12,Motor Vehicle Accident,5,4
409,2023-12-02 09:53,Medical,1,3
410,2023-12-04 07:54,Other,4,8
411,2023-01-08 21:40,Emergency Transfer,1,7
412,2023-01-28 21:03,Motor Vehicle Accident,5,5
413,2023-03-19 09:29,Fire,3,3
414,2023-11-17 09:43,Fire,9,1
415,2023-12-14 17:33,Other,5,0
416,2023-03-15 13:06,Other,3,0
417,2023-04-27 15:28,Motor Vehicle Accident,1,3
418,2023-06-19 12:23,Other,9,3
419,2023-06-24 02:59,Medical,3,10
420,2023-11-23 06:39,Emergency Transfer,4,6
421,2023-04-02 06:28,Medical,3,6
422,2023-05-12 05:52,Other,5,9
423,2023-07-06 10:23,Fire,4,7
424,2023-08-03 23:27,Motor Vehicle Accident,4,4
425,2023-05-20 15:37,Motor Vehicle Accident,4,4
426,2023-05-08 16:28,Motor Vehicle Accident,4,7
427,2023-08-24 06:09,Other,5,4
428,2023-02-26 02:52,Medical,1,5
429,2023-04-18 12:28,Motor Vehicle Accident,4,9
430,2023-06-13 23:14,Motor Vehicle Accident,4,1
431,2023-10-22 22:20,Fire,3,6
432,2023-05-26 01:22,Fire,12,6
433,2023-11-03 18:23,Airport Standby,9,2
434,2023-01-22 03:28,Motor Vehicle Accident,14,0
435,2023-11-01 03:07,Fire,9,4
436,2023-09-16 01:11,Motor Vehicle Accident,4,4
437,2023-10-15 00:38,Motor Vehicle Accident,4,7
438,2023-07-25 02:47,Motor Vehicle Accident,1,10
439,2023-10-10 10:57,Other,3,3
440,2023-09-01 17:01,Medical,4,7
441,2023-08-07 04:38,Fire,11,4
442,2023-03-07 08:20,Airport Standby,4,7
443,2023-08-05 12:49,Motor Vehicle Accident,9,8
444,2023-04-17 00:57,Motor Vehicle Accident,4,8
445,2023-10-17 21:13,Medical,1,6
446,2023-08-03 03:23,Motor Vehicle Accident,1,4
447,2023-12-29 15:45,Medical,9,8
448,2023-06-04 23:31,Other,3,2
449,2023-10-22 06:21,Other,4,6
450,2023-10-14 07:12,Other,9,11
451,2023-08-17 01:56,Fire,1,7
452,2023-11-27 21:35,Medical,3,10
453,2023-04-05 09:59,Medical,4,5
454,2023-09-09 12:40,Medical,1,6
455,2023-05-20 12:38,Medical,5,8
456,2023-08-11 11:45,Motor Vehicle Accident,4,3
457,2023-07-14 01:11,Medical,3,6
458,2023-07-25 13:54,Medical,3,6
459,2023-04-14 11:12,Medical,4,3
460,2023-12-04 12:02,Medical,3,10
461,2023-03-24 20:03,Medical,13,7
462,2023-11-06 04:01,Medical,4,9
463,2023-03-14 09:40,Other,3,4
464,2023-05-28 00:15,Motor Vehicle Accident,5,4
465,2023-09-28 20:49,Motor Vehicle Accident,4,8
466,2023-07-15 11:17,Motor Vehicle Accident,5,3
467,2023-11-29 18:18,Medical,13,4
468,2023-07-25 21:19,Motor Vehicle Accident,4,9
469,2023-12-02 18:21,Medical,5,9
470,2023-02-08 04:50,Motor Vehicle Accident,5,5
471,2023-05-22 18:35,Medical,1,7
472,2023-03-17 00:11,Motor Vehicle Accident,4,1
473,2023-02-05 06:19,Motor Vehicle Accident,5,4
474,2023-09-21 06:31,Medical,3,2
475,2023-05-16 14:50,Other,12,4
476,2023-03-14 18:39,Medical,12,13
477,2023-01-25 17:34,Medical,5,3
478,2023-12-16 13:50,Motor Vehicle Accident,1,8
479,2023-07-14 20:24,Other,1,4
480,2023-11-04 04:48,Medical,4,11
481,2023-08-26 22:15,Motor Vehicle Accident,4,2
482,2023-05-08 23:33,Emergency Transfer,5,6
483,2023-04-12 18:47,Medical,1,2
484,2023-07-13 17:47,Motor Vehicle Accident,12,3
485,2023-07-17 13:15,Airport Standby,14,4
486,2023-01-28 01:17,Other,9,4
487,2023-05-01 19:33,Medical,1,9
488,2023-06-12 06:41,Fire,4,5
489,2023-03-31 08:09,Motor Vehicle Accident,5,6
490,2023-01-23 02:25,Motor Vehicle Accident,9,2
491,2023-12-23 11:55,Other,12,7
492,2023-12-12 20:59,Other,3,3
493,2023-04-09 01:28,Motor Vehicle Accident,3,3
494,2023-09-30 19:45,Other,4,9
495,2023-02-23 06:41,Medical,11,9
496,2023-08-06 04:58,Fire,3,4
497,2023-12-21 16:54,Medical,4,7
498,2023-08-17 11:40,Fire,4,4
499,2023-05-31 12:48,Medical,4,6
500,2023-02-09 07:22,Motor Vehicle Accident,3,9
501,2023-12-12 21:13,Other,5,6
502,2023-10-09 08:29,Medical,4,5
503,2023-05-06 01:35,Medical,4,6
504,2023-11-16 23:08,Medical,4,4
505,2023-05-03 22:16,Other,4,4
506,2023-03-06 12:45,Other,3,0
507,2023-02-15 11:39,Motor Vehicle Accident,4,8
508,2023-07-30 00:51,Medical,9,5
509,2023-10-21 20:45,Other,4,4
510,2023-04-06 13:14,Other,3,5
511,2023-08-04 09:00,Medical,1,11
512,2023-02-05 10:23,Other,3,9
513,2023-03-01 15:32,Motor Vehicle Accident,5,13
514,2023-11-17 09:44,Motor Vehicle Accident,9,5
515,2023-09-19 03:15,Motor Vehicle Accident,3,4
516,2023-12-22 14:29,Medical,3,7
517,2023-02-08 22:01,Fire,4,9
518,2023-03-15 15:50,Other,5,1
519,2023-04-25 11:51,Other,3,6
520,2023-07-04 14:39,Fire,4,6
521,2023-12-12 22:48,Other,5,8
522,2023-08-18 02:45,Other,1,11
523,2023-05-20 15:26,Medical,4,6
524,2023-04-16 03:43,Fire,12,9
525,2023-09-10 03:45,Emergency Transfer,5,1
526,2023-02-12 14:32,Other,13,5
527,2023-08-21 17:54,Motor Vehicle Accident,3,4
528,2023-03-18 21:29,Other,3,7
529,2023-03-15 15:54,Fire,4,7
530,2023-12-19 18:50,Motor Vehicle Accident,9,5
531,2023-12-13 21:16,Other,3,6
532,2023-05-16 03:43,Motor Vehicle Accident,4,7
533,2023-12-09 06:31,Airport Standby,5,4
534,2023-12-05 18:45,Medical,11,7
535,2023-02-21 01:45,Motor Vehicle Accident,9,4
536,2023-10-09 10:03,Motor Vehicle Accident,5,2
537,2023-11-23 20:45,Motor Vehicle Accident,3,2
538,2023-01-25 19:05,Other,4,7
539,2023-09-27 21:06,Motor Vehicle Accident,1,1
540,2023-03-14 12:12,Motor Vehicle Accident,5,7
541,2023-03-02 05:52,Other,5,5
542,2023-08-12 16:04,Medical,1,5
543,2023-11-27 03:52,Motor Vehicle Accident,5,2
544,2023-03-20 12:53,Medical,1,1
545,2023-02-21 00:11,Medical,14,6
546,2023-01-12 05:39,Motor Vehicle Accident,3,3
547,2023-04-26 18:38,Other,9,3
548,2023-01-24 18:37,Fire,4,8
549,2023-07-11 14:44,Medical,14,5
550,2023-07-29 19:15,Motor Vehicle Accident,3,5
551,2023-02-13 21:54,Medical,3,1
552,2023-02-12 02:34,Medical,4,4
553,2023-05-28 15:06,Motor Vehicle Accident,5,8
554,2023-10-08 04:53,Other,9,10
555,2023-12-04 04:02,Motor Vehicle Accident,4,7
556,2023-01-11 16:07,Motor Vehicle Accident,11,9
557,2023-09-23 20:07,Emergency Transfer,11,5
558,2023-09-08 11:12,Motor Vehicle Accident,1,5
559,2023-01-27 07:44,Motor Vehicle Accident,9,10
560,2023-10-21 06:53,Motor Vehicle Accident,1,3
561,2023-06-24 13:29,Other,1,6
562,2023-04-27 04:02,Medical,3,5
563,2023-06-29 11:21,Medical,4,8
564,2023-08-18 14:15,Medical,9,8
565,2023-03-08 17:01,Motor Vehicle Accident,3,6
566,2023-01-29 05:35,Medical,11,4
567,2023-07-10 01:00,Other,1,6
568,2023-03-10 02:06,Medical,4,4
569,2023-03-11 13:58,Fire,5,3
570,2023-11-11 23:08,Motor Vehicle Accident,1,5
571,2023-04-25 01:22,Fire,3,6
572,2023-09-15 16:33,Other,3,6
573,2023-12-27 20:51,Medical,5,8
574,2023-05-22 23:11,Medical,3,3
575,2023-04-18 12:46,Motor Vehicle Accident,1,10
576,2023-02-10 05:43,Fire,11,4
577,2023-10-06 12:32,Medical,4,5
578,2023-07-02 05:13,Medical,3,2
579,2023-03-25 12:58,Medical,4,4
580,2023-01-31 12:55,Airport Standby,13,9
581,2023-09-07 02:51,Other,1,11
582,2023-11-11 03:26,Motor Vehicle Accident,11,7
583,2023-03-31 20:06,Other,4,7
584,2023-06-07 08:11,Motor Vehicle Accident,3,6
585,2023-06-21 02:44,Fire,5,2
586,2023-04-10 19:39,Other,5,3
587,2023-08-07 23:58,Other,4,10
588,2023-05-30 10:34,Medical,5,2
589,2023-09-26 01:12,Fire,1,7
590,2023-07-10 23:07,Motor Vehicle Accident,5,8
591,2023-04-13 15:50,Other,4,7
